ticker,name,instrument_type
^IRX,13 WEEK TREASURY BILL,bond
^FVX,Treasury Yield 5 Years,bond
^TNX,CBOE Interest Rate 10 Year T No,bond
^TYX,Treasury Yield 30 Years,bond
2YY=F,"2-Year Yield Futures,Jul-2024",bond
ZN=F,"10-Year T-Note Futures,Sep-2024",bond
